Mileage,Dealer_Name,Rating,Review_Count,Price,Year,Variant
10423,Mercedes-Benz of West Houston,4.7,73,147992,2019,G-Class G 550 4MATIC
17859,Loeber Motors Inc.,4.2,542,169998,2019,AMG G 63
633,Mercedes-Benz of Naples,4.7,1523,259999,2023,Maybach S 680 Base 4MATIC
15917,Mercedes-Benz of Columbus,4.7,1193,68699,2020,GLS 450 Base 4MATIC
35821,Mercedes-Benz of Alexandria,3.8,995,43495,2019,E-Class E 300
7615,Mercedes-Benz of Beaverton,4.4,2848,44622,2022,C-Class C 300 4MATIC
38391,Mercedes-Benz of Tucson,4.5,343,32551,2019,CLA 250 Base
11611,Benzel-Busch Motor Car,4.5,5334,68988,2022,CLS 450 Base 4MATIC
15925,Mercedes-Benz of Laguna Niguel,4.7,1829,116930,2021,AMG GT 63 4-Door
14167,Bobby Rahal Motorcar Company,4.8,107,40000,2020,SLC 300 SLC 300
8085,Serra Auto Campus,3.9,39,73787,2022,GLE 450 AWD 4MATIC
29630,"Viti, Inc.",4.9,742,47988,2018,AMG E 43 Base 4MATIC
1938,Mercedes-Benz of Fredericksburg,4.7,432,56000,2020,AMG SLC 43 Base
34118,Bloomington Normal Auto-Mall,3.4,160,42388,2020,E-Class E 350 4MATIC
10842,Mercedes-Benz of Newton,4.7,256,63500,2022,GLE 350 Base 4MATIC
19959,Benzel-Busch Motor Car,4.5,5334,42772,2020,E-Class E 350 4MATIC
33913,Mercedes-Benz of Omaha,4.3,420,77750,2022,GLS 450 4MATIC
24670,Mercedes-Benz of Gilbert,3.8,351,63987,2020,S-Class S 450
38448,Mercedes-Benz of Fort Lauderdale,4.6,1187,41698,2019,E-Class E 450
6019,Serra Auto Campus,3.9,39,74987,2023,GLE 450 AWD 4MATIC
61668,Mercedes-Benz of Huntsville,4.7,936,44995,2019,AMG C 43 AMG C 43 4MATIC
8896,Mercedes-Benz of North Olmsted,4.7,1530,41894,2022,GLB 250 Base 4MATIC
15936,Mercedes-Benz of Austin,4.8,1338,193900,2021,AMG G 63 Base
4119,Mercedes-Benz of Ontario,4.8,2017,231883,2023,AMG G 63 4MATIC
29585,Mercedes-Benz of Covington,4.7,734,46900,2021,E-Class E 350
33289,Mercedes-Benz of South Orlando,4.4,1404,46395,2020,E-Class E 450 4MATIC
24793,Mercedes-Benz of Hoffman Estates,4.6,1188,144999,2020,Maybach S 650 Base
